t,month,ws_best_min,ws_best_corr,ws_c_m5h,ws_c_m6h,ws_c_m330,temp_best_min,temp_best_corr,temp_c_m5h,temp_c_m6h,temp_c_m330
1,2023-07,-380,0.6799,0.6287,0.6754,0.6577,-390,0.9168,0.8625,0.9101,0.8917
1,2023-12,-390,0.8197,0.781,0.8152,0.8016,-410,0.9366,0.9202,0.933,0.9277
1,2024-02,-360,0.7402,0.7266,0.7402,0.7369,-400,0.9498,0.9225,0.9446,0.9355
1,2024-04,-340,0.8168,0.8055,0.8157,0.8157,-380,0.9212,0.8897,0.9194,0.909
1,2025-01,-390,0.7318,0.7154,0.7298,0.7244,-440,0.8739,0.7241,0.821,0.7774
1,2025-02,-390,0.6826,0.6576,0.6801,0.6718,-410,0.9207,0.8604,0.9076,0.8879
1,2025-07,-340,0.6753,0.659,0.6719,0.6744,-410,0.9195,0.8467,0.9055,0.8814
1,2025-10,-390,0.7707,0.7386,0.7677,0.7567,-410,0.9217,0.8462,0.9054,0.8809
1,2026-01,-300,0.7304,0.7304,0.7196,0.7279,-450,0.9176,0.8434,0.8903,0.8691
2,2023-07,-390,0.688,0.6333,0.6825,0.6635,-390,0.9187,0.8629,0.9116,0.8926
2,2023-12,-390,0.8177,0.7781,0.8125,0.7986,-410,0.9346,0.9185,0.9312,0.926
2,2024-02,-370,0.7307,0.7091,0.7303,0.7236,-410,0.944,0.9116,0.9368,0.9262
2,2024-04,-340,0.8166,0.8069,0.8145,0.8159,-380,0.9213,0.8885,0.9193,0.9084
2,2025-01,-390,0.7337,0.718,0.7318,0.7266,-440,0.8702,0.7186,0.8164,0.7723
2,2025-02,-390,0.6715,0.6466,0.6687,0.6606,-410,0.9178,0.8566,0.9043,0.8843
2,2025-07,-340,0.6764,0.6617,0.6721,0.6759,-410,0.9211,0.8474,0.9067,0.8823
2,2025-10,-390,0.7708,0.7378,0.7675,0.7562,-410,0.9227,0.8456,0.9058,0.8809
2,2026-01,-300,0.7276,0.7276,0.717,0.7251,-450,0.9166,0.8399,0.8877,0.8661
