wsbin,n,median,q25,q75,mean,zero_frac
0.0,1245,0.01,0.01,0.01,0.01,0.0
0.5,5294,0.01,0.01,0.01,0.01,0.005
1.0,7587,0.01,0.01,0.01,0.01,0.043
1.5,7848,0.01,0.01,0.01,0.009,0.105
2.0,6734,0.01,0.01,0.01,0.011,0.091
2.5,5896,0.01,0.01,0.03,0.019,0.058
3.0,5682,0.03,0.01,0.05,0.03,0.054
3.5,5734,0.05,0.02,0.07,0.047,0.028
4.0,5997,0.07,0.05,0.09,0.068,0.01
4.5,6408,0.1,0.07,0.12,0.096,0.002
5.0,6876,0.14,0.11,0.16,0.131,0.0
5.5,7478,0.18,0.15,0.21,0.177,0.0
6.0,7508,0.24,0.21,0.27,0.236,0.0
6.5,7087,0.31,0.28,0.34,0.303,0.0
7.0,6504,0.39,0.35,0.42,0.38,0.0
7.5,5451,0.47,0.44,0.5,0.459,0.0
8.0,4855,0.54,0.51,0.57,0.536,0.0
8.5,4289,0.62,0.59,0.65,0.608,0.0
9.0,4054,0.69,0.66,0.73,0.682,0.0
9.5,4024,0.77,0.73,0.81,0.757,0.0
10.0,4157,0.84,0.8,0.89,0.83,0.0
10.5,4945,0.92,0.87,0.95,0.901,0.0
11.0,5433,0.96,0.92,0.97,0.939,0.0
11.5,4884,0.97,0.96,0.97,0.956,0.0
12.0,3868,0.97,0.97,0.97,0.961,0.0
12.5,3031,0.97,0.97,0.97,0.967,0.0
13.0,2170,0.97,0.97,0.98,0.968,0.0
13.5,1476,0.97,0.97,0.98,0.965,0.0
14.0,1016,0.97,0.97,0.97,0.964,0.0
14.5,722,0.97,0.97,0.97,0.961,0.0
15.0,443,0.97,0.97,0.97,0.951,0.0
15.5,321,0.97,0.97,0.97,0.963,0.0
16.0,175,0.97,0.97,0.975,0.957,0.0
16.5,99,0.97,0.97,0.98,0.938,0.0
17.0,77,0.97,0.97,0.98,0.939,0.0
17.5,48,0.97,0.97,0.98,0.973,0.0
18.0,28,0.975,0.97,0.98,0.975,0.0
18.5,19,0.97,0.97,0.98,0.974,0.0
19.0,14,0.97,0.97,0.978,0.974,0.0
19.5,13,0.97,0.97,0.98,0.973,0.0
20.0,6,0.975,0.97,0.98,0.975,0.0
20.5,1,0.97,0.97,0.97,0.97,0.0
21.0,2,0.97,0.97,0.97,0.97,0.0
