t,month,var,best,r,r5,r6,r7
1,2023-03,ws,6.33,0.801,0.766,0.8,0.793
1,2023-03,temp,6.5,0.941,0.908,0.937,0.938
1,2023-04,ws,6.0,0.728,0.692,0.728,0.697
1,2023-04,temp,6.5,0.949,0.917,0.945,0.945
1,2023-05,ws,5.83,0.742,0.721,0.742,0.713
1,2023-05,temp,6.33,0.946,0.925,0.946,0.939
1,2023-06,ws,6.33,0.619,0.582,0.616,0.609
1,2023-06,temp,6.67,0.907,0.836,0.896,0.904
1,2023-07,ws,6.33,0.68,0.629,0.676,0.669
1,2023-07,temp,6.5,0.919,0.865,0.912,0.913
1,2023-08,ws,6.33,0.689,0.636,0.685,0.676
1,2023-08,temp,6.83,0.935,0.881,0.924,0.935
1,2023-09,ws,6.17,0.763,0.729,0.762,0.74
1,2023-09,temp,7.0,0.915,0.855,0.901,0.915
1,2023-10,ws,5.83,0.789,0.771,0.789,0.763
1,2023-10,temp,7.0,0.912,0.847,0.895,0.912
1,2023-11,ws,6.0,0.838,0.82,0.838,0.818
1,2023-11,temp,7.0,0.874,0.754,0.844,0.874
1,2023-12,ws,6.5,0.82,0.783,0.816,0.812
1,2023-12,temp,6.83,0.937,0.92,0.933,0.937
1,2024-01,ws,5.83,0.727,0.704,0.727,0.704
1,2024-01,temp,7.0,0.9,0.846,0.886,0.9
1,2024-02,ws,5.83,0.739,0.727,0.738,0.72
1,2024-02,temp,6.83,0.949,0.922,0.944,0.949
1,2024-03,ws,5.5,0.824,0.819,0.818,0.789
1,2024-03,temp,6.5,0.966,0.943,0.963,0.964
1,2024-04,ws,5.67,0.817,0.806,0.816,0.786
1,2024-04,temp,6.33,0.926,0.895,0.925,0.918
1,2024-05,ws,6.17,0.771,0.738,0.771,0.75
1,2024-05,temp,6.33,0.932,0.894,0.929,0.925
1,2024-07,ws,6.5,0.584,0.521,0.578,0.574
1,2024-07,temp,6.67,0.915,0.848,0.902,0.914
1,2024-08,ws,5.83,0.537,0.52,0.536,0.503
1,2024-08,temp,6.83,0.923,0.848,0.907,0.923
1,2024-09,ws,6.17,0.816,0.789,0.816,0.801
1,2024-09,temp,6.67,0.925,0.875,0.916,0.924
1,2024-10,ws,6.0,0.768,0.745,0.768,0.74
1,2024-10,temp,7.0,0.94,0.891,0.927,0.94
1,2024-11,ws,6.0,0.759,0.745,0.759,0.744
1,2024-11,temp,6.83,0.931,0.871,0.918,0.931
1,2024-12,ws,6.17,0.807,0.786,0.807,0.795
1,2024-12,temp,7.17,0.893,0.813,0.87,0.893
1,2025-01,ws,6.5,0.732,0.716,0.73,0.729
1,2025-01,temp,7.33,0.872,0.723,0.82,0.868
1,2025-02,ws,6.5,0.686,0.659,0.683,0.684
1,2025-02,temp,6.83,0.922,0.861,0.908,0.921
1,2025-03,ws,6.17,0.762,0.745,0.761,0.753
1,2025-03,temp,6.67,0.951,0.92,0.946,0.951
1,2025-04,ws,6.17,0.762,0.723,0.761,0.747
