window,turbine_id,section,baseline,model,mode,scope,lead_start,lead_end,label,n,mae,rmse,bias,nmae,nrmse,nbias,sde,fit_a,fit_b,skill_pct,pinball_mean,coverage_p10_p90
Feb 2024,T1,ceiling,era5_fixed_scada_curve,,all,all,1,48,left,1392,0.282120,0.383718,-0.249102,0.282120,0.383718,-0.249102,0.291869,,,,,
Feb 2024,T1,ceiling,era5_fixed_scada_curve,,all,h1-24,1,24,left,696,0.287917,0.388910,-0.254691,0.287917,0.388910,-0.254691,0.293911,,,,,
Feb 2024,T1,ceiling,era5_fixed_scada_curve,,all,h25-48,25,48,left,696,0.276323,0.378454,-0.243514,0.276323,0.378454,-0.243514,0.289704,,,,,
Feb 2024,T1,ceiling,era5_fixed_scada_curve,,weather_explainable,all,1,48,left,1283,0.293716,0.395230,-0.273122,0.293716,0.395230,-0.273122,0.285677,,,,,
Feb 2024,T1,ceiling,era5_fixed_scada_curve,,weather_explainable,h1-24,1,24,left,642,0.299798,0.400544,-0.278941,0.299798,0.400544,-0.278941,0.287450,,,,,
Feb 2024,T1,ceiling,era5_fixed_scada_curve,,weather_explainable,h25-48,25,48,left,641,0.287624,0.389835,-0.267293,0.287624,0.389835,-0.267293,0.283771,,,,,
Feb 2024,T1,ceiling,era5_linear_mos_lomo,,all,all,1,48,left,1392,0.200531,0.274570,-0.072619,0.200531,0.274570,-0.072619,0.264793,1.093737,1.341262,,,
Feb 2024,T1,ceiling,era5_linear_mos_lomo,,all,h1-24,1,24,left,696,0.204163,0.278647,-0.076894,0.204163,0.278647,-0.076894,0.267828,1.093737,1.341262,,,
Feb 2024,T1,ceiling,era5_linear_mos_lomo,,all,h25-48,25,48,left,696,0.196899,0.270432,-0.068345,0.196899,0.270432,-0.068345,0.261653,1.093737,1.341262,,,
Feb 2024,T1,ceiling,era5_linear_mos_lomo,,weather_explainable,all,1,48,left,1283,0.194331,0.266205,-0.096380,0.194331,0.266205,-0.096380,0.248145,1.093737,1.341262,,,
Feb 2024,T1,ceiling,era5_linear_mos_lomo,,weather_explainable,h1-24,1,24,left,642,0.198235,0.270689,-0.100821,0.198235,0.270689,-0.100821,0.251213,1.093737,1.341262,,,
Feb 2024,T1,ceiling,era5_linear_mos_lomo,,weather_explainable,h25-48,25,48,left,641,0.190421,0.261636,-0.091931,0.190421,0.261636,-0.091931,0.244953,1.093737,1.341262,,,
