model,turbine,block,n,mae,rmse,bias,skill_vs_median_7d_pct
v0,T1,h1_24,690,0.16876888888888888,0.2376558521433272,0.015608695652173918,50.3
v0,T1,h25_48,690,0.1755980193236715,0.2517419538313798,-0.00464439613526569,48.1
v0,T1,all,1380,0.1721834541062802,0.2448002403765278,0.005482149758454113,49.2
v0,T2,h1_24,690,0.18984222222222222,0.2767304752097659,0.050584541062801934,36.7
v0,T2,h25_48,690,0.19423067632850238,0.28613419548260327,0.030766231884057978,36.9
v0,T2,all,1380,0.1920364492753623,0.28147160934479654,0.04067538647342995,36.8
last_value,T1,h1_24,690,0.3670217391304348,0.49494809744319745,-0.03665942028985506,-8.2
last_value,T1,h25_48,690,0.4536787439613526,0.5628808640820528,-0.06601207729468599,-34.2
last_value,T1,all,1380,0.4103502415458937,0.5300040029624301,-0.051335748792270534,-21.1
last_value,T2,h1_24,690,0.3600410628019323,0.490674159947246,-0.043741545893719806,-20.0
last_value,T2,h25_48,690,0.41533091787439613,0.5306351244176175,-0.07248550724637681,-34.9
last_value,T2,all,1380,0.38768599033816425,0.5110453827722329,-0.05811352657004831,-27.5
median_7d,T1,h1_24,690,0.3393405797101449,0.43614595386829436,-0.15055797101449275,0.0
median_7d,T1,h25_48,690,0.3381642512077295,0.4330072584025671,-0.1730845410628019,0.0
median_7d,T1,all,1380,0.3387524154589372,0.43457943974893243,-0.16182125603864733,0.0
median_7d,T2,h1_24,690,0.3000966183574879,0.40489725043997105,-0.1592632850241546,0.0
median_7d,T2,h25_48,690,0.30793478260869567,0.41285332547708503,-0.1813768115942029,0.0
median_7d,T2,all,1380,0.30401570048309173,0.4088946391011605,-0.1703200483091787,0.0
