model,turbine,block,n,mae,rmse,bias,skill_vs_median_7d_pct
v1,T1,h1_24,690,0.16213159420289855,0.23091271948362582,0.027836231884057976,52.2
v1,T1,h25_48,690,0.1674329951690821,0.24232029200600266,0.00696806763285025,50.5
v1,T1,all,1380,0.16478229468599034,0.23668524239715294,0.017402149758454118,51.4
v1,T2,h1_24,690,0.18666956521739128,0.2768385570390188,0.061754685990338155,37.8
v1,T2,h25_48,690,0.18941671497584545,0.2830226706122944,0.04133594202898551,38.5
v1,T2,all,1380,0.18804314009661835,0.27994769042087253,0.05154531400966184,38.1
last_value,T1,h1_24,690,0.3670217391304348,0.49494809744319745,-0.03665942028985506,-8.2
last_value,T1,h25_48,690,0.4536787439613526,0.5628808640820528,-0.06601207729468599,-34.2
last_value,T1,all,1380,0.4103502415458937,0.5300040029624301,-0.051335748792270534,-21.1
last_value,T2,h1_24,690,0.3600410628019323,0.490674159947246,-0.043741545893719806,-20.0
last_value,T2,h25_48,690,0.41533091787439613,0.5306351244176175,-0.07248550724637681,-34.9
last_value,T2,all,1380,0.38768599033816425,0.5110453827722329,-0.05811352657004831,-27.5
median_7d,T1,h1_24,690,0.3393405797101449,0.43614595386829436,-0.15055797101449275,0.0
median_7d,T1,h25_48,690,0.3381642512077295,0.4330072584025671,-0.1730845410628019,0.0
median_7d,T1,all,1380,0.3387524154589372,0.43457943974893243,-0.16182125603864733,0.0
median_7d,T2,h1_24,690,0.3000966183574879,0.40489725043997105,-0.1592632850241546,0.0
median_7d,T2,h25_48,690,0.30793478260869567,0.41285332547708503,-0.1813768115942029,0.0
median_7d,T2,all,1380,0.30401570048309173,0.4088946391011605,-0.1703200483091787,0.0
