window,turbine_id,point_estimate,scope,lead_start,lead_end,mode,label,n,nbias,nmae,nrmse,sde,pinball_p10,pinball_p50,pinball_p90,pinball_mean,coverage_p10_p90
feb2025,T1,median,all,1,48,all,left,1332,0.03598197556043555,0.15675024653792485,0.23357943265939415,0.23079135338277443,0.030731205341991946,0.07837512326896243,0.03445835999117241,0.04785489620070893,0.8896396396396397
feb2025,T1,median,h1-24,1,24,all,left,666,0.0422504955142994,0.16048090175503296,0.2361749517167796,0.23236502199603823,0.03143332224405135,0.08024045087751648,0.033667201239962516,0.04844699145384345,0.8843843843843844
feb2025,T1,median,h25-48,25,48,all,left,666,0.0297134556065717,0.15301959132081674,0.2309547464429898,0.22903538036832216,0.030029088439932537,0.07650979566040837,0.035249518742382295,0.0472628009475744,0.8948948948948949
feb2025,T1,mean,all,1,48,all,left,1332,0.07395964017907494,0.17477969062338367,0.23290968478291224,0.22085491366564003,0.030731205341991946,0.07837512326896243,0.03445835999117241,0.04785489620070893,0.8896396396396397
feb2025,T1,mean,h1-24,1,24,all,left,666,0.0760610903105933,0.17567789333891173,0.23335160747143907,0.2206075321702964,0.03143332224405135,0.08024045087751648,0.033667201239962516,0.04844699145384345,0.8843843843843844
feb2025,T1,mean,h25-48,25,48,all,left,666,0.07185819004755657,0.17388148790785554,0.23246692199503674,0.221082044374788,0.030029088439932537,0.07650979566040837,0.035249518742382295,0.0472628009475744,0.8948948948948949
feb2025,T2,median,all,1,48,all,left,1332,0.07049189716502754,0.18518464258314657,0.28488932174924225,0.27603046585625013,0.04377286850712105,0.09259232129157328,0.03787682305452409,0.058080670951072805,0.8566066066066066
feb2025,T2,median,h1-24,1,24,all,left,666,0.07687502507376347,0.18995019374277564,0.28882938135747444,0.2784109230171289,0.04565468017307726,0.09497509687138782,0.03682376555185649,0.05915118086544052,0.8453453453453453
feb2025,T2,median,h25-48,25,48,all,left,666,0.06410876925629165,0.18041909142351753,0.2808940009294345,0.27348035663021336,0.04189105684116485,0.09020954571175877,0.03892988055719168,0.057010161036705094,0.8678678678678678
feb2025,T2,mean,all,1,48,all,left,1332,0.10947048762922279,0.20333384409271613,0.2810449531957752,0.25884836884754686,0.04377286850712105,0.09259232129157328,0.03787682305452409,0.058080670951072805,0.8566066066066066
feb2025,T2,mean,h1-24,1,24,all,left,666,0.11154031353423474,0.20535801062181686,0.2834392769925094,0.2605697261746289,0.04565468017307726,0.09497509687138782,0.03682376555185649,0.05915118086544052,0.8453453453453453
feb2025,T2,mean,h25-48,25,48,all,left,666,0.10740066172421085,0.20130967756361548,0.27863005525534124,0.25709882448738686,0.04189105684116485,0.09020954571175877,0.03892988055719168,0.057010161036705094,0.8678678678678678
jan2026,T1,median,all,1,48,all,left,1464,0.09049379849889277,0.17472566800696684,0.25716965863650365,0.24072205083136364,0.0308984194565433,0.08736283400348342,0.040061138775959876,0.052774130745328864,0.85724043715847
jan2026,T1,median,h1-24,1,24,all,left,744,0.09297503267197713,0.1648874968184585,0.24314960023576837,0.22467169691453961,0.027831520443640328,0.08244374840922924,0.038322543726666054,0.049532604193178544,0.8629032258064516
jan2026,T1,median,h25-48,25,48,all,left,720,0.08792985652003896,0.18489177823509215,0.27089583864017625,0.2562282102441684,0.034067548436543034,0.09244588911754607,0.04185768699356348,0.056123708182550865,0.8513888888888889
jan2026,T1,mean,all,1,48,all,left,1464,0.09941470616050604,0.18667563663908707,0.25145874802622287,0.23097233201822182,0.0308984194565433,0.08736283400348342,0.040061138775959876,0.052774130745328864,0.85724043715847
jan2026,T1,mean,h1-24,1,24,all,left,744,0.10105462161825933,0.17438065144920417,0.23676470075758566,0.214115592553227,0.027831520443640328,0.08244374840922924,0.038322543726666054,0.049532604193178544,0.8629032258064516
jan2026,T1,mean,h25-48,25,48,all,left,720,0.09772012685416098,0.19938045466863272,0.26579054348767067,0.24717481630432747,0.034067548436543034,0.09244588911754607,0.04185768699356348,0.056123708182550865,0.8513888888888889
jan2026,T2,median,all,1,48,all,left,1464,0.09420349055432364,0.1785800781409251,0.26400950703854853,0.24663074052947834,0.03277174051232001,0.08929003907046255,0.04075838157508658,0.05427338705262305,0.8469945355191257
jan2026,T2,median,h1-24,1,24,all,left,744,0.09665373190479139,0.16896269172182482,0.2512171443076018,0.23187951548798597,0.030064938829824032,0.08448134586091241,0.03897914096675032,0.05117514188582892,0.8494623655913979
jan2026,T2,median,h25-48,25,48,all,left,720,0.09167157449217361,0.18851804410732875,0.27660745632242834,0.2609751086277961,0.03556876891756586,0.09425902205366438,0.0425969302037007,0.057474907058310314,0.8444444444444444
jan2026,T2,mean,all,1,48,all,left,1464,0.1044483870188414,0.1915928191530094,0.2590442619329672,0.23705371562065433,0.03277174051232001,0.08929003907046255,0.04075838157508658,0.05427338705262305,0.8469945355191257
jan2026,T2,mean,h1-24,1,24,all,left,744,0.10603296556359197,0.17996039748534937,0.24535832241742714,0.22126390711836452,0.030064938829824032,0.08448134586091241,0.03897914096675032,0.05117514188582892,0.8494623655913979
jan2026,T2,mean,h25-48,25,48,all,left,720,0.10281098918926584,0.20361298820959142,0.27246515436533786,0.25232352416144643,0.03556876891756586,0.09425902205366438,0.0425969302037007,0.057474907058310314,0.8444444444444444
