source,turbine_id,window,lag_h,r,n
IFS 9 km,T1,2023-03..2024-02,3.0,0.5724448211712456,51071
IFS 9 km,T1,2023-03..2024-02,3.1666666666666665,0.5874086997169267,51071
IFS 9 km,T1,2023-03..2024-02,3.3333333333333335,0.602273496320222,51071
IFS 9 km,T1,2023-03..2024-02,3.5,0.6170125431468658,51071
IFS 9 km,T1,2023-03..2024-02,3.6666666666666665,0.6315136018424259,51071
IFS 9 km,T1,2023-03..2024-02,3.8333333333333335,0.6457869528589157,51071
IFS 9 km,T1,2023-03..2024-02,4.0,0.6598297482119766,51071
IFS 9 km,T1,2023-03..2024-02,4.166666666666667,0.6735622994596713,51071
IFS 9 km,T1,2023-03..2024-02,4.333333333333333,0.686925434254701,51071
IFS 9 km,T1,2023-03..2024-02,4.5,0.6997983117109272,51071
IFS 9 km,T1,2023-03..2024-02,4.666666666666667,0.7120140452248187,51071
IFS 9 km,T1,2023-03..2024-02,4.833333333333333,0.7234470329012144,51071
IFS 9 km,T1,2023-03..2024-02,5.0,0.7338241018770009,51071
IFS 9 km,T1,2023-03..2024-02,5.166666666666667,0.7429468150161207,51071
IFS 9 km,T1,2023-03..2024-02,5.333333333333333,0.7505958786818704,51071
IFS 9 km,T1,2023-03..2024-02,5.5,0.7565613608634376,51071
IFS 9 km,T1,2023-03..2024-02,5.666666666666667,0.7608313355976047,51071
IFS 9 km,T1,2023-03..2024-02,5.833333333333333,0.7632570768333218,51071
IFS 9 km,T1,2023-03..2024-02,6.0,0.7638743048074373,51071
IFS 9 km,T1,2023-03..2024-02,6.166666666666667,0.7627822943892844,51071
IFS 9 km,T1,2023-03..2024-02,6.333333333333333,0.7601462026943172,51071
IFS 9 km,T1,2023-03..2024-02,6.5,0.7561807666859862,51071
IFS 9 km,T1,2023-03..2024-02,6.666666666666667,0.7509742593916062,51071
IFS 9 km,T1,2023-03..2024-02,6.833333333333333,0.7446941562278744,51071
IFS 9 km,T1,2023-03..2024-02,7.0,0.7374606532758783,51071
IFS 9 km,T1,2023-03..2024-02,7.166666666666667,0.7294386470590098,51071
IFS 9 km,T1,2023-03..2024-02,7.333333333333333,0.7207293101968758,51071
IFS 9 km,T1,2023-03..2024-02,7.5,0.7113813840481319,51071
IFS 9 km,T1,2023-03..2024-02,7.666666666666667,0.701491746135827,51071
IFS 9 km,T1,2023-03..2024-02,7.833333333333333,0.6910864478101886,51071
IFS 9 km,T1,2023-03..2024-02,8.0,0.6802719336132609,51071
IFS 9 km,T1,2023-03..2024-02,8.166666666666666,0.6691007870932894,51071
IFS 9 km,T1,2023-03..2024-02,8.333333333333334,0.6576254075199709,51071
IFS 9 km,T1,2023-03..2024-02,8.5,0.6458876267704314,51071
IFS 9 km,T1,2023-03..2024-02,8.666666666666666,0.6339004294323061,51071
IFS 9 km,T1,2023-03..2024-02,8.833333333333334,0.6217020153965592,51071
IFS 9 km,T1,2023-03..2024-02,9.0,0.6093070717926818,51071
IFS 9 km,T1,2024-03..2026-01,3.0,0.6032929403820192,91289
IFS 9 km,T1,2024-03..2026-01,3.1666666666666665,0.6189609351384102,91289
IFS 9 km,T1,2024-03..2026-01,3.3333333333333335,0.6345395650631775,91289
IFS 9 km,T1,2024-03..2026-01,3.5,0.6499430884565207,91289
IFS 9 km,T1,2024-03..2026-01,3.6666666666666665,0.6650935021146466,91289
IFS 9 km,T1,2024-03..2026-01,3.8333333333333335,0.679870712472846,91289
IFS 9 km,T1,2024-03..2026-01,4.0,0.6941765914500537,91289
IFS 9 km,T1,2024-03..2026-01,4.166666666666667,0.7079209120557266,91289
IFS 9 km,T1,2024-03..2026-01,4.333333333333333,0.721004235738347,91289
IFS 9 km,T1,2024-03..2026-01,4.5,0.7333575713628169,91289
