issue_time_utc,issue_time_scada,target_time_scada,target_time_utc,turbine,lead_h,nwp_run_init_utc,nwp_lead_h,point,p10,p50,p90,prediction_kind,model_version,interval_label
2025-02-09T18:00:00Z,2025-02-10T00:00:00+06:00,2025-02-10T00:00:00+06:00,2025-02-09T18:00:00Z,turbine_1,0,2025-02-09T06:00:00Z,12,0.8688352179949006,0.5103569314027707,0.8688352179949006,0.9538372985906227,model,lightgbm-v1,start
2025-02-09T18:00:00Z,2025-02-10T00:00:00+06:00,2025-02-10T01:00:00+06:00,2025-02-09T19:00:00Z,turbine_1,1,2025-02-09T06:00:00Z,13,0.8932989882961448,0.534820701704015,0.8932989882961448,0.978301068891867,model,lightgbm-v1,start
2025-02-09T18:00:00Z,2025-02-10T00:00:00+06:00,2025-02-10T02:00:00+06:00,2025-02-09T20:00:00Z,turbine_1,2,2025-02-09T06:00:00Z,14,0.9610026646364381,0.6025243780443083,0.9610026646364381,1.0,model,lightgbm-v1,start
2025-02-09T18:00:00Z,2025-02-10T00:00:00+06:00,2025-02-10T03:00:00+06:00,2025-02-09T21:00:00Z,turbine_1,3,2025-02-09T06:00:00Z,15,0.9604770005043457,0.6019987139122158,0.9604770005043457,1.0,model,lightgbm-v1,start
2025-02-09T18:00:00Z,2025-02-10T00:00:00+06:00,2025-02-10T04:00:00+06:00,2025-02-09T22:00:00Z,turbine_1,4,2025-02-09T06:00:00Z,16,0.917868047550879,0.5593897609587491,0.917868047550879,1.0,model,lightgbm-v1,start
2025-02-09T18:00:00Z,2025-02-10T00:00:00+06:00,2025-02-10T05:00:00+06:00,2025-02-09T23:00:00Z,turbine_1,5,2025-02-09T06:00:00Z,17,0.9107567316524436,0.5522784450603138,0.9107567316524436,0.9957588122481658,model,lightgbm-v1,start
2025-02-09T18:00:00Z,2025-02-10T00:00:00+06:00,2025-02-10T06:00:00+06:00,2025-02-10T00:00:00Z,turbine_1,6,2025-02-09T06:00:00Z,18,0.9636558791708365,0.6051775925787066,0.9636558791708365,1.0,model,lightgbm-v1,start
2025-02-09T18:00:00Z,2025-02-10T00:00:00+06:00,2025-02-10T07:00:00+06:00,2025-02-10T01:00:00Z,turbine_1,7,2025-02-09T06:00:00Z,19,0.9561082538752746,0.5976299672831448,0.9561082538752746,1.0,model,lightgbm-v1,start
2025-02-09T18:00:00Z,2025-02-10T00:00:00+06:00,2025-02-10T08:00:00+06:00,2025-02-10T02:00:00Z,turbine_1,8,2025-02-09T06:00:00Z,20,0.9621016646954259,0.603623378103296,0.9621016646954259,1.0,model,lightgbm-v1,start
2025-02-09T18:00:00Z,2025-02-10T00:00:00+06:00,2025-02-10T09:00:00+06:00,2025-02-10T03:00:00Z,turbine_1,9,2025-02-09T06:00:00Z,21,0.944814970523628,0.5863366839314981,0.944814970523628,1.0,model,lightgbm-v1,start
2025-02-09T18:00:00Z,2025-02-10T00:00:00+06:00,2025-02-10T10:00:00+06:00,2025-02-10T04:00:00Z,turbine_1,10,2025-02-09T06:00:00Z,22,0.8526644128682721,0.4941861262761422,0.8526644128682721,0.9376664934639942,model,lightgbm-v1,start
2025-02-09T18:00:00Z,2025-02-10T00:00:00+06:00,2025-02-10T11:00:00+06:00,2025-02-10T05:00:00Z,turbine_1,11,2025-02-09T06:00:00Z,23,0.6920571182678897,0.19436763310884064,0.6920571182678897,0.9906985069734917,model,lightgbm-v1,start
2025-02-09T18:00:00Z,2025-02-10T00:00:00+06:00,2025-02-10T12:00:00+06:00,2025-02-10T06:00:00Z,turbine_1,12,2025-02-09T06:00:00Z,24,0.5557553751736533,0.05806589001460416,0.5557553751736533,0.8543967638792553,model,lightgbm-v1,start
2025-02-09T18:00:00Z,2025-02-10T00:00:00+06:00,2025-02-10T13:00:00+06:00,2025-02-10T07:00:00Z,turbine_1,13,2025-02-09T06:00:00Z,25,0.23545556200167667,0.0,0.23545556200167667,0.7494488044264163,model,lightgbm-v1,start
2025-02-09T18:00:00Z,2025-02-10T00:00:00+06:00,2025-02-10T14:00:00+06:00,2025-02-10T08:00:00Z,turbine_1,14,2025-02-09T06:00:00Z,26,0.13208786251562893,0.049819456938416704,0.13208786251562893,0.36048079361804813,model,lightgbm-v1,start
2025-02-09T18:00:00Z,2025-02-10T00:00:00+06:00,2025-02-10T15:00:00+06:00,2025-02-10T09:00:00Z,turbine_1,15,2025-02-09T06:00:00Z,27,0.09379017133322043,0.011521765756008204,0.09379017133322043,0.32218310243563963,model,lightgbm-v1,start
