time,wind_speed_100m,wind_speed_10m,temperature_2m,wind_direction_100m,surface_pressure
2025-07-01 00:00:00,4.13,1.86,22.7,235,941.1
2025-07-01 01:00:00,4.36,2.21,23.8,229,941.6
2025-07-01 02:00:00,3.62,2.68,28.6,244,942.8
2025-07-01 03:00:00,4.31,3.46,29.4,273,943.1
2025-07-01 04:00:00,4.41,3.6,29.9,283,942.9
2025-07-01 05:00:00,4.61,3.75,33.4,285,943.4
2025-07-01 06:00:00,4.98,4.1,33.7,288,943.1
2025-07-01 07:00:00,5.54,4.54,34.0,277,942.7
2025-07-01 08:00:00,6.77,5.46,35.6,278,942.9
2025-07-01 09:00:00,6.73,5.32,35.6,275,942.9
2025-07-01 10:00:00,6.85,5.43,34.8,284,941.7
2025-07-01 11:00:00,6.61,5.12,34.5,286,941.6
2025-07-01 12:00:00,6.62,5.08,34.6,285,942.4
2025-07-01 13:00:00,6.69,4.92,34.6,296,942.6
2025-07-01 14:00:00,5.86,3.66,30.9,310,942.5
2025-07-01 15:00:00,4.64,2.08,30.0,312,943.0
2025-07-01 16:00:00,3.68,2.22,29.4,301,943.7
2025-07-01 17:00:00,3.74,2.2,25.8,282,943.4
2025-07-01 18:00:00,3.94,2.11,25.2,278,943.5
2025-07-01 19:00:00,3.5,1.88,24.7,269,943.8
2025-07-01 20:00:00,3.4,1.87,22.6,253,943.5
2025-07-01 21:00:00,3.25,1.85,22.0,247,943.5
2025-07-01 22:00:00,2.98,1.36,20.8,229,943.5
2025-07-01 23:00:00,2.69,1.36,20.6,211,943.5
2025-07-02 00:00:00,2.59,1.66,20.7,205,943.9
2025-07-02 01:00:00,2.25,1.8,22.1,201,944.4
2025-07-02 02:00:00,1.47,1.11,28.7,198,945.9
2025-07-02 03:00:00,1.0,0.8,29.5,267,945.7
2025-07-02 04:00:00,1.87,1.52,29.9,286,945.4
2025-07-02 05:00:00,3.07,2.5,34.1,282,946.0
2025-07-02 06:00:00,4.48,3.62,34.4,277,945.6
2025-07-02 07:00:00,6.06,4.86,34.8,273,945.2
2025-07-02 08:00:00,7.6,6.05,35.9,271,944.9
2025-07-02 09:00:00,8.61,6.71,35.9,273,945.0
2025-07-02 10:00:00,7.81,6.03,35.2,255,945.1
2025-07-02 11:00:00,8.45,6.45,34.7,268,944.7
2025-07-02 12:00:00,8.11,6.06,35.1,273,944.9
2025-07-02 13:00:00,8.09,5.87,35.0,279,944.8
2025-07-02 14:00:00,7.01,4.41,31.2,274,944.7
2025-07-02 15:00:00,6.91,3.68,30.5,266,945.5
2025-07-02 16:00:00,6.89,3.36,30.0,264,946.1
2025-07-02 17:00:00,6.56,2.98,26.5,267,945.6
2025-07-02 18:00:00,6.06,2.66,25.9,267,945.7
2025-07-02 19:00:00,5.59,2.41,25.6,263,945.7
2025-07-02 20:00:00,5.0,2.06,23.8,256,945.4
2025-07-02 21:00:00,4.07,1.56,23.6,249,945.3
2025-07-02 22:00:00,2.35,1.59,21.5,268,944.9
2025-07-02 23:00:00,1.19,1.44,20.8,242,945.5
2025-07-03 00:00:00,1.41,1.02,21.2,207,945.9
2025-07-03 01:00:00,0.67,1.05,22.9,167,946.5
2025-07-03 02:00:00,1.41,1.21,29.3,98,948.3
2025-07-03 03:00:00,2.41,2.02,29.3,84,948.0
2025-07-03 04:00:00,2.23,1.94,29.8,74,947.9
2025-07-03 05:00:00,1.79,1.61,33.8,60,947.9
2025-07-03 06:00:00,1.14,1.05,34.3,29,947.5
2025-07-03 07:00:00,1.09,0.97,34.8,344,946.7
2025-07-03 08:00:00,1.56,1.32,37.1,318,946.4
2025-07-03 09:00:00,1.95,1.59,37.5,296,945.9
2025-07-03 10:00:00,1.41,1.14,37.1,293,945.3
2025-07-03 11:00:00,2.67,2.22,37.2,278,944.1
2025-07-03 12:00:00,3.71,2.96,37.3,265,944.0
2025-07-03 13:00:00,4.79,3.68,37.4,263,943.7
2025-07-03 14:00:00,5.54,3.33,33.4,263,943.0
2025-07-03 15:00:00,6.11,3.11,33.2,268,943.5
2025-07-03 16:00:00,6.02,2.8,32.6,274,944.1
2025-07-03 17:00:00,5.17,2.25,28.3,276,943.3
2025-07-03 18:00:00,4.5,1.87,27.2,269,943.2
2025-07-03 19:00:00,4.04,1.66,26.6,261,943.1
2025-07-03 20:00:00,3.7,1.46,24.1,257,942.9
2025-07-03 21:00:00,3.12,1.61,23.8,258,942.8
2025-07-03 22:00:00,1.71,1.31,22.4,275,942.8
2025-07-03 23:00:00,0.52,0.65,22.2,253,943.4
2025-07-04 00:00:00,0.21,0.52,22.9,166,943.9
2025-07-04 01:00:00,0.69,0.45,23.5,60,944.3
2025-07-04 02:00:00,1.01,0.82,29.9,57,945.7
