time,wind_speed_100m,wind_speed_10m,temperature_2m,wind_direction_100m,surface_pressure
2023-12-01 00:00:00,1.3,0.63,5.0,293,960.8
2023-12-01 01:00:00,0.71,0.45,4.9,262,960.9
2023-12-01 02:00:00,1.28,0.64,5.7,219,961.3
2023-12-01 03:00:00,1.7,0.64,5.7,220,961.7
2023-12-01 04:00:00,1.14,0.58,5.9,232,961.5
2023-12-01 05:00:00,0.63,0.51,7.1,252,961.8
2023-12-01 06:00:00,0.67,0.54,7.3,297,961.2
2023-12-01 07:00:00,0.95,0.85,7.3,288,960.8
2023-12-01 08:00:00,1.4,1.2,7.9,274,960.3
2023-12-01 09:00:00,1.4,1.2,8.0,270,960.2
2023-12-01 10:00:00,0.72,0.64,7.2,326,960.5
2023-12-01 11:00:00,0.45,0.4,6.3,27,960.4
2023-12-01 12:00:00,1.08,0.81,7.4,68,960.8
2023-12-01 13:00:00,1.24,0.92,7.6,104,961.4
2023-12-01 14:00:00,1.56,0.89,5.7,135,961.0
2023-12-01 15:00:00,1.8,1.0,5.3,124,960.8
2023-12-01 16:00:00,2.56,1.2,5.5,111,960.9
2023-12-01 17:00:00,3.37,1.5,4.1,102,960.1
2023-12-01 18:00:00,4.04,1.75,4.0,99,960.3
2023-12-01 19:00:00,4.55,1.97,4.6,99,960.0
2023-12-01 20:00:00,5.05,2.21,4.2,98,959.5
2023-12-01 21:00:00,5.46,2.47,3.8,98,959.2
2023-12-01 22:00:00,5.23,2.35,3.8,97,959.4
2023-12-01 23:00:00,6.2,3.11,4.1,92,959.0
2023-12-02 00:00:00,6.6,3.41,4.3,91,958.7
2023-12-02 01:00:00,6.52,3.32,4.5,94,959.2
2023-12-02 02:00:00,6.07,3.14,4.5,99,959.2
2023-12-02 03:00:00,5.95,3.21,4.3,98,958.8
2023-12-02 04:00:00,5.61,3.3,4.4,94,959.0
2023-12-02 05:00:00,5.1,3.71,7.8,89,959.3
2023-12-02 06:00:00,5.11,3.91,7.9,87,958.9
2023-12-02 07:00:00,4.8,3.7,8.1,88,958.2
2023-12-02 08:00:00,3.9,3.0,10.0,89,958.3
2023-12-02 09:00:00,3.0,2.3,10.0,88,957.9
2023-12-02 10:00:00,1.87,1.33,7.1,106,957.5
2023-12-02 11:00:00,1.66,1.46,6.3,115,957.7
2023-12-02 12:00:00,1.32,1.46,6.2,99,957.9
2023-12-02 13:00:00,1.46,1.49,5.7,106,957.9
2023-12-02 14:00:00,1.7,1.48,4.4,130,957.6
2023-12-02 15:00:00,1.66,1.25,4.6,123,957.5
2023-12-02 16:00:00,1.66,0.89,5.0,115,957.6
2023-12-02 17:00:00,1.79,0.89,5.0,117,957.5
2023-12-02 18:00:00,1.92,0.89,4.5,118,957.6
2023-12-02 19:00:00,2.2,1.08,4.3,129,957.4
2023-12-02 20:00:00,1.92,0.98,3.2,118,956.8
2023-12-02 21:00:00,2.42,1.03,2.6,97,956.8
2023-12-02 22:00:00,3.26,1.44,2.0,101,957.7
2023-12-02 23:00:00,4.31,1.92,2.4,112,957.7
2023-12-03 00:00:00,4.49,2.05,2.2,107,957.6
2023-12-03 01:00:00,5.32,2.28,2.1,95,957.8
2023-12-03 02:00:00,5.81,2.47,2.9,94,958.3
2023-12-03 03:00:00,5.71,2.62,3.7,94,958.7
2023-12-03 04:00:00,5.35,2.86,4.5,98,959.2
2023-12-03 05:00:00,4.46,3.13,9.3,99,959.7
2023-12-03 06:00:00,4.7,3.6,9.6,90,959.4
2023-12-03 07:00:00,5.16,3.96,9.6,81,958.4
2023-12-03 08:00:00,5.38,4.16,11.9,80,957.9
2023-12-03 09:00:00,5.36,3.95,12.0,81,957.4
2023-12-03 10:00:00,4.7,3.1,7.9,89,956.0
2023-12-03 11:00:00,4.55,2.02,7.3,99,955.9
2023-12-03 12:00:00,4.21,1.79,6.9,108,956.3
2023-12-03 13:00:00,3.77,1.64,6.8,112,956.1
2023-12-03 14:00:00,3.24,1.61,4.7,124,955.4
2023-12-03 15:00:00,2.44,1.3,4.3,125,955.3
2023-12-03 16:00:00,1.61,0.76,4.2,120,955.2
2023-12-03 17:00:00,1.14,0.85,3.8,142,954.8
