time,wind_speed_100m,wind_speed_10m,temperature_2m,wind_direction_100m,surface_pressure
2024-04-01 00:00:00,1.27,1.04,3.0,225,961.7
2024-04-01 01:00:00,0.72,0.63,3.4,146,962.2
2024-04-01 02:00:00,1.8,1.03,7.0,109,962.6
2024-04-01 03:00:00,2.81,2.21,7.4,86,962.0
2024-04-01 04:00:00,3.62,2.93,7.3,84,961.3
2024-04-01 05:00:00,3.9,3.21,11.1,89,961.3
2024-04-01 06:00:00,3.8,3.11,11.3,88,960.3
2024-04-01 07:00:00,3.61,2.93,11.5,85,959.2
2024-04-01 08:00:00,3.42,2.93,13.7,83,958.9
2024-04-01 09:00:00,3.51,2.91,13.9,87,958.0
2024-04-01 10:00:00,3.91,3.11,13.7,86,957.4
2024-04-01 11:00:00,4.2,3.4,13.8,93,956.8
2024-04-01 12:00:00,5.18,3.85,13.8,100,957.4
2024-04-01 13:00:00,5.63,2.91,12.7,96,957.4
2024-04-01 14:00:00,6.21,3.0,8.4,93,956.9
2024-04-01 15:00:00,6.7,3.21,8.7,89,957.3
2024-04-01 16:00:00,7.31,3.61,8.7,88,957.4
2024-04-01 17:00:00,7.71,3.81,7.2,88,956.9
2024-04-01 18:00:00,7.6,3.81,7.3,88,957.0
2024-04-01 19:00:00,7.4,3.6,7.1,90,956.9
2024-04-01 20:00:00,7.01,3.4,5.8,92,956.3
2024-04-01 21:00:00,6.63,3.11,5.4,95,955.7
2024-04-01 22:00:00,6.55,3.11,4.2,97,955.6
2024-04-01 23:00:00,6.53,3.11,3.8,95,955.1
2024-04-02 00:00:00,6.8,3.21,3.8,92,955.5
2024-04-02 01:00:00,6.81,3.41,3.7,93,955.6
2024-04-02 02:00:00,6.02,3.41,7.5,95,956.6
2024-04-02 03:00:00,5.7,4.3,7.4,91,956.1
2024-04-02 04:00:00,6.2,4.8,7.6,89,955.6
2024-04-02 05:00:00,6.32,4.92,12.4,85,955.6
2024-04-02 06:00:00,5.91,4.72,13.0,86,954.8
2024-04-02 07:00:00,4.91,3.91,13.8,86,954.2
2024-04-02 08:00:00,3.62,3.01,16.9,84,953.6
2024-04-02 09:00:00,2.26,1.84,17.2,77,953.3
2024-04-02 10:00:00,1.71,1.39,17.0,69,953.0
2024-04-02 11:00:00,0.57,0.5,17.1,45,952.9
2024-04-02 12:00:00,0.22,0.1,17.0,333,953.0
2024-04-02 13:00:00,0.32,0.5,16.5,18,952.9
2024-04-02 14:00:00,0.22,0.41,12.8,117,952.4
2024-04-02 15:00:00,0.61,0.63,11.1,189,952.4
2024-04-02 16:00:00,1.49,1.48,10.6,228,952.3
2024-04-02 17:00:00,1.88,1.52,8.8,245,952.0
2024-04-02 18:00:00,1.71,1.46,8.3,249,952.2
2024-04-02 19:00:00,1.56,1.2,8.0,230,952.4
2024-04-02 20:00:00,1.56,0.9,6.5,220,952.0
2024-04-02 21:00:00,1.41,0.9,6.4,225,951.8
2024-04-02 22:00:00,0.51,0.7,5.3,169,951.7
2024-04-02 23:00:00,0.73,0.7,5.1,164,951.3
2024-04-03 00:00:00,0.8,0.81,4.8,180,951.8
2024-04-03 01:00:00,0.45,0.82,5.0,153,952.1
